		"	$6bn	's	*crosses	*maybe	."	100%	2get	4get	>>	@barackobama	@oldtownsocial	aborted	according	acknowledge	aging	agree	ai	ain't	aint	alles	allow	am	ambasciatore	anketi	annihilate	announced	anscheinend	answer	apologize	apply	are	arrives	asking	assure	ate	avoid	await	ban	be	became	become	been	begin	being	believe	belong	beyond	break	bring	bringing	brings	bueno	building	call	called	callin	calls	came	casting	casts	change	chased	check	cheer	cheering	choose	chose	cleaning	close	closed	closing	come	comenzara	coming	complete	consider	cook	coude	count	covering	dall'europa	dare	declare	decreasing	dedicated	demain	dici	did	die	disappointed	display	do	does	doing	don't	donc	done	donne	driven	drop	dropped	earn	elecciones	election2012	end	ends	enjoy	erklren	esta	estan	excited	face	fall	faudra	feel	feeling	fight	fingerscrossed	fired	flips	follow	fool	forget	freaking	fuck	fuckd	gasped	gearing	get	getting	give	glued	go	goes	going	goodluck	got	had	happens	has	have	haven't	hearing	hitting	hold	holding	hope	hoping	hyped	improving	insert	is	ivoted	join	keep	keeping	kill	knew	know	left	let	lets	listen	live	lnyhbt	look	lose	loses	love	luv	made	make	making	mes	met	moved	moving	n	need	needs	nuffsaid	obama	obama2012	paid	pare	pas	pass	plays	please	pray	praying	predicting	propose	pull	pumped	pushed	ran	read	reevaluate	remember	report	residentes	rolling	rooting	run	said	say	see	send	set	setting	shine	sognano	sondaggi	spend	spent	stand	start	starting	staying	stop	strss	stuns	supports	survive	think	thinks	thrilled	took	touched	tweelkin	use	vote	voted	wait	want	was	watch	watching	win	winning	wins	wish	wonder	
flips	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
follow	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.5509	.0000	.0000	-.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.4653	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	1.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.6606	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.5052	.0000	-.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	.5038	.0000	-.0000	-.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	
fool	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	-.0000	.0611	.0000	-.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	.1997	.1587	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.1894	-.0000	-.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	-.0000	.2097	.0000	-.0000	.1806	.0000	.2704	-.0000	.0000	.0000	.0000	.0000	.0000	.1575	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.1455	.0000	-.0000	.0000	.0000	.0000	.0000	.3011	-.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	1.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.1962	.0000	-.0000	-.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	.1367	.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0677	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	.3183	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.3518	.0000	-.0000	.0633	-.0000	.0000	.0000	.0000	-.0000	-.0000	.1288	-.0000	.0000	.0000	-.0000	.0000	.1509	-.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	.1539	-.0000	-.0000	-.0000	.0000	-.0000	.3387	
forget	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	1.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	-.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	-.0000	-.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	
freaking	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
fuck	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.6066	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
fuckd	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
gasped	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
gearing	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
get	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.7272	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	
getting	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.1015	.0000	.0000	.0000	.0000	.3587	.0000	.0000	.0000	.0000	.0852	-.0000	.0000	.0000	.0000	.0000	.1173	.0000	.0000	.0000	.2620	.0000	.2927	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.3332	-.0000	.0944	.0930	.0885	.0000	.0000	.3298	.0926	.0000	.2784	.0000	.0000	.3093	.0000	.0000	-.0000	.0000	.0876	-.0000	.0000	.2684	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0926	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0906	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0953	.0000	.2000	.1271	.3572	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	1.0000	.0833	.0000	.0833	.0000	.3287	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.3046	.3107	.3154	.3143	.0944	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0926	.2684	.3449	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.1036	.0000	.0000	.1002	.0000	.0000	.1976	.2984	.0000	.0000	.0000	.0000	-.0000	.1087	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.3093	.0000	.0000	.0000	.0000	.0000	.0000	.3027	.0000	.0000	.0000	.0000	.0000	.0000	.1015	.0000	.2409	-.0000	.3226	.0000	.0000	.0000	.0000	.1017	-.0000	.0900	.0000	.0000	.0000	.0000	-.0000	.2951	.2927	.0000	.2533	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.3646	.3218	.0000	.0941	.0852	.0000	-.0000	.3093	.2409	.2684	.0000	.0900	.0912	
give	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	-.0000	.0000	.0000	.0829	-.0000	-.0000	.0000	.0000	.0868	-.0000	.0000	-.0000	-.0000	.0717	-.0000	.0000	-.0000	.0000	.0000	.2869	-.0000	-.0000	.0000	.0755	-.0000	.0734	.0000	.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0919	-.0000	.0781	.0772	.0741	-.0000	.0000	.0811	.0769	.0000	.0704	.0000	.0000	.0769	-.0000	-.0000	-.0000	.0000	.0734	-.0000	.0000	.0683	-.0000	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0769	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.2324	.0000	-.0000	.0000	.0000	-.0000	.0000	-.0000	.0000	.0000	.0000	.0000	-.0000	.0788	.0000	.0734	.3055	.0865	.0000	.0000	.0000	-.0000	-.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0833	1.0000	.0000	.0704	.0000	.0808	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0759	.0772	.0781	.0779	.2404	.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0769	.0683	.0841	.0000	.0000	-.0000	.0000	.0000	-.0000	-.0000	.0000	.2595	-.0000	.0000	.2526	.0000	.0000	.0727	.0746	.0000	.0000	.0000	.0000	-.0000	.2698	.0000	.0000	.0000	.0000	.0000	-.0000	.0000	.0769	.0000	-.0000	-.0000	.0000	.0000	-.0000	.0755	.0000	.0000	.0000	.0000	-.0000	-.0000	.0829	.0000	.0704	-.0000	.0796	.0000	.0000	.0000	-.0000	.0831	-.0000	.3747	.0000	.0000	-.0000	.0000	-.0000	.0833	.0734	.0000	.0734	.0000	.0000	.0000	-.0000	.0000	.0000	.0000	.0000	.0000	.0000	.0880	.0795	.0000	.0779	.2206	.0000	-.0000	.0769	.0704	.0683	.0000	.2311	.2336	
